iter	Passed	Remaining
444	1155	1440
445	1159	1440
446	1162	1437
447	1164	1434
448	1166	1431
449	1168	1427
450	1171	1425
451	1175	1424
452	1177	1421
453	1179	1418
454	1182	1415
455	1185	1414
456	1189	1412
457	1192	1410
458	1194	1408
459	1196	1404
460	1198	1401
461	1199	1397
462	1202	1394
463	1204	1391
464	1206	1388
465	1208	1384
466	1210	1381
467	1211	1377
468	1213	1374
469	1215	1370
470	1217	1367
471	1219	1364
472	1221	1360
473	1222	1356
474	1225	1354
475	1227	1351
476	1228	1347
477	1231	1344
478	1233	1341
479	1235	1338
480	1237	1334
481	1238	1331
482	1240	1327
483	1241	1324
484	1243	1320
485	1245	1317
486	1247	1314
487	1249	1311
488	1252	1308
489	1254	1305
490	1255	1301
491	1257	1298
492	1259	1294
493	1261	1292
494	1263	1289
495	1266	1286
496	1268	1283
497	1270	1280
498	1272	1277
499	1274	1274
500	1278	1273
501	1281	1270
502	1283	1267
503	1286	1265
504	1288	1263
505	1293	1263
506	1295	1260
507	1298	1258
508	1300	1254
509	1302	1251
510	1306	1250
511	1308	1247
512	1312	1246
513	1314	1243
514	1316	1239
515	1318	1236
516	1324	1237
517	1328	1235
518	1330	1233
519	1333	1230
520	1343	1235
521	1347	1234
522	1354	1235
523	1359	1234
524	1362	1232
525	1369	1234
526	1376	1235
527	1378	1232
528	1387	1235
529	1392	1235
530	1402	1238
531	1416	1245
532	1420	1244
533	1429	1247
534	1438	1249
535	1449	1254
536	1454	1254
537	1462	1255
538	1467	1254
539	1475	1257
540	1481	1256
541	1483	1253
542	1489	1253
543	1494	1252
544	1497	1249
545	1499	1246
546	1502	1244
547	1507	1243
548	1518	1247
549	1522	1245
550	1529	1245
551	1534	1245
552	1548	1251
553	1555	1251
554	1557	1249
555	1559	1245
556	1568	1247
557	1574	1246
558	1576	1243
559	1584	1244
560	1587	1242
561	1593	1241
562	1598	1240
563	1600	1237
564	1602	1234
565	1611	1235
566	1615	1233
567	1617	1230
568	1622	1229
569	1627	1227
570	1629	1224
571	1631	1221
572	1633	1217
573	1640	1217
574	1642	1214
575	1644	1210
576	1646	1207
577	1648	1203
578	1654	1203
579	1656	1199
580	1658	1196
581	1660	1192
582	1662	1189
583	1664	1185
584	1667	1183
585	1669	1179
586	1671	1175
587	1672	1172
588	1674	1168
589	1675	1164
590	1677	1160
591	1678	1156
592	1681	1154
593	1683	1150
594	1685	1146
595	1686	1143
596	1688	1139
597	1689	1135
598	1691	1132
599	1692	1128
600	1694	1124
601	1696	1121
602	1699	1118
603	1701	1115
604	1702	1111
605	1703	1107
606	1705	1104
607	1706	1100
608	1708	1096
609	1710	1093
610	1712	1090
611	1714	1086
612	1715	1083
613	1717	1079
614	1718	1076
615	1720	1072
616	1722	1069
617	1723	1065
618	1726	1062
619	1728	1059
620	1730	1055
621	1731	1052
622	1733	1048
623	1735	1045
624	1736	1041
625	1738	1038
626	1740	1035
627	1742	1032
628	1744	1028
629	1745	1025
630	1747	1021
631	1748	1018
632	1750	1014
633	1752	1011
634	1754	1008
635	1756	1005
636	1758	1002
637	1760	998
638	1762	995
639	1763	992
640	1765	988
641	1767	985
642	1769	982
643	1772	979
644	1773	976
645	1775	972
646	1777	969
647	1778	966
648	1780	962
649	1782	959
650	1784	956
651	1786	953
652	1788	950
653	1790	947
654	1792	943
655	1793	940
656	1795	937
657	1797	934
658	1799	931
659	1801	927
660	1803	924
661	1805	921
662	1806	918
663	1808	915
664	1810	911
665	1811	908
666	1814	905
667	1816	902
668	1818	899
669	1820	896
670	1822	893
671	1825	890
672	1828	888
673	1831	885
674	1833	882
675	1835	879
676	1837	876
677	1840	874
678	1843	871
679	1845	868
680	1847	865
681	1849	862
682	1851	859
683	1852	856
684	1854	852
685	1856	849
686	1858	846
687	1860	843
688	1862	840
689	1863	837
690	1865	834
691	1867	831
692	1869	827
693	1870	824
694	1873	822
695	1875	819
696	1877	816
697	1879	813
698	1880	809
699	1882	806
700	1884	803
701	1886	800
702	1887	797
703	1889	794
704	1891	791
705	1893	788
706	1894	785
707	1896	782
708	1898	779
709	1900	776
710	1901	773
711	1903	769
712	1905	766
713	1906	763
714	1908	760
715	1910	757
716	1912	754
717	1913	751
718	1915	748
719	1917	745
720	1919	742
721	1920	739
722	1922	736
723	1924	733
724	1925	730
725	1927	727
726	1929	724
727	1930	721
728	1932	718
729	1934	715
730	1936	712
731	1937	709
732	1939	706
733	1941	703
734	1942	700
735	1944	697
736	1946	694
737	1948	691
738	1949	688
739	1951	685
740	1952	682
741	1954	679
742	1956	676
743	1958	673
744	1959	670
745	1961	667
746	1963	664
747	1964	661
748	1966	659
749	1968	656
750	1969	653
751	1971	650
752	1973	647
753	1975	644
754	1976	641
755	1978	638
756	1980	635
757	1981	632
758	1983	629
759	1985	626
760	1986	623
761	1988	621
762	1990	618
763	1992	615
764	1993	612
765	1995	609
766	1997	606
767	1998	603
768	2000	600
769	2002	598
770	2003	595
771	2005	592
772	2007	589
773	2008	586
774	2010	583
775	2012	580
776	2014	578
777	2015	575
778	2017	572
779	2019	569
780	2020	566
781	2022	563
782	2024	561
783	2026	558
784	2027	555
785	2029	552
786	2031	549
787	2033	546
788	2034	544
789	2036	541
790	2038	538
791	2040	535
792	2041	532
793	2043	530
794	2045	527
795	2046	524
796	2048	521
797	2050	518
798	2051	516
799	2053	513
800	2054	510
801	2056	507
802	2058	505
803	2060	502
804	2062	499
805	2063	496
806	2065	493
807	2067	491
808	2068	488
809	2070	485
810	2072	482
811	2074	480
812	2075	477
813	2077	474
814	2078	471
815	2080	469
816	2082	466
817	2084	463
818	2086	461
819	2087	458
820	2089	455
821	2090	452
822	2092	450
823	2094	447
824	2096	444
825	2097	441
826	2099	439
827	2101	436
828	2103	433
829	2104	431
830	2106	428
831	2108	425
832	2110	423
833	2111	420
834	2113	417
835	2115	414
836	2116	412
837	2118	409
838	2120	406
839	2121	404
840	2123	401
841	2125	398
842	2127	396
843	2128	393
844	2130	390
845	2132	388
846	2134	385
847	2135	382
848	2137	380
849	2140	377
850	2142	375
851	2144	372
852	2145	369
853	2147	367
854	2149	364
855	2150	361
856	2152	359
857	2154	356
858	2155	353
859	2157	351
860	2159	348
861	2160	345
862	2162	343
863	2164	340
864	2166	338
865	2168	335
866	2170	332
867	2172	330
868	2173	327
869	2175	325
870	2178	322
871	2179	319
872	2181	317
873	2182	314
874	2184	312
875	2185	309
876	2187	306
877	2189	304
878	2191	301
879	2193	299
880	2195	296
881	2197	293
882	2199	291
883	2201	288
884	2203	286
885	2205	283
886	2207	281
887	2209	278
888	2210	276
889	2212	273
890	2214	270
891	2215	268
892	2217	265
893	2219	263
894	2221	260
895	2224	258
896	2226	255
897	2228	253
898	2231	250
899	2233	248
900	2236	245
901	2238	243
902	2240	240
903	2242	238
904	2244	235
905	2246	233
906	2248	230
907	2250	228
908	2252	225
909	2254	222
910	2256	220
911	2258	217
912	2259	215
913	2261	212
914	2262	210
915	2264	207
916	2266	205
917	2268	202
918	2269	200
919	2271	197
920	2273	195
921	2275	192
922	2277	189
923	2278	187
924	2280	184
925	2282	182
926	2284	179
927	2286	177
928	2288	174
929	2290	172
930	2292	169
931	2294	167
932	2296	164
933	2298	162
934	2300	159
935	2302	157
936	2303	154
937	2305	152
938	2307	149
939	2309	147
940	2311	144
941	2313	142
942	2315	139
